t,state
0,870
1,869.915
2,869.83
3,869.745
4,869.66
5,869.575
6,869.49
7,869.405
8,869.32
9,869.235
10,869.15
11,869.065
12,868.981
13,868.896
14,868.811
15,868.726
16,868.641
17,868.556
18,868.471
19,868.386
20,868.302
21,868.217
22,868.132
23,868.047
24,867.962
25,867.878
26,867.793
27,867.708
28,867.623
29,867.538
30,867.454
31,867.369
32,867.284
33,867.199
34,867.115
35,867.03
36,866.945
37,866.861
38,866.776
39,866.691
40,866.607
41,866.522
42,866.437
43,866.353
44,866.268
45,866.183
46,866.099
47,866.014
48,865.93
49,865.845
50,865.76
51,865.676
52,865.591
53,865.507
54,865.422
55,865.338
56,865.253
57,865.169
58,865.084
59,865
60,864.915
61,864.831
62,864.746
63,864.662
64,864.577
65,864.493
66,864.408
67,864.324
68,864.239
69,864.155
70,864.07
71,863.986
72,863.902
73,863.817
74,863.733
75,863.649
76,863.564
77,863.48
78,863.395
79,863.311
80,863.227
81,863.142
82,863.058
83,862.974
84,862.89
85,862.805
86,862.721
87,862.637
88,862.552
89,862.468
90,862.384
91,862.3
92,862.215
93,862.131
94,862.047
95,861.963
96,861.879
97,861.794
98,861.71
99,861.626
100,861.542
101,861.458
102,861.374
103,861.29
104,861.205
105,861.121
106,861.037
107,860.953
108,860.869
109,860.785
110,860.701
111,860.617
112,860.533
113,860.449
114,860.365
115,860.281
116,860.196
117,860.112
118,860.028
119,859.944
120,859.86
121,859.776
122,859.692
123,859.609
124,859.525
125,859.441
126,859.357
127,859.273
128,859.189
129,859.105
130,859.021
131,858.937
132,858.853
133,858.769
134,858.685
135,858.602
136,858.518
137,858.434
138,858.35
139,858.266
140,858.182
141,858.099
142,858.015
143,857.931
144,857.847
145,857.763
146,857.68
147,857.596
148,857.512
149,857.428
150,857.345
151,857.261
152,857.177
153,857.093
154,857.01
155,856.926
156,856.842
157,856.759
158,856.675
159,856.591
160,856.508
161,856.424
162,856.34
163,856.257
164,856.173
165,856.089
166,856.006
167,855.922
168,855.839
169,855.755
170,855.671
171,855.588
172,855.504
173,855.421
174,855.337
175,855.254
176,855.17
177,855.087
178,855.003
179,854.92
180,854.836
181,854.753
182,854.669
183,854.586
184,854.502
185,854.419
186,854.335
187,854.252
188,854.168
189,854.085
190,854.002
191,853.918
192,853.835
193,853.751
194,853.668
195,853.585
196,853.501
197,853.418
198,853.335
199,853.251
200,853.168
201,853.085
202,853.001
203,852.918
204,852.835
205,852.752
206,852.668
207,852.585
208,852.502
209,852.418
210,852.335
211,852.252
212,852.169
213,852.086
214,852.002
215,851.919
216,851.836
217,851.753
218,851.67
219,851.586
220,851.503
221,851.42
222,851.337
223,851.254
224,851.171
225,851.088
226,851.005
227,850.921
228,850.838
229,850.755
230,850.672
231,850.589
232,850.506
233,850.423
234,850.34
235,850.257
236,850.174
237,850.091
238,850.008
239,849.925
240,849.842
241,849.759
242,849.676
243,849.593
244,849.51
245,849.427
246,849.344
247,849.261
248,849.178
249,849.095
250,849.012
251,848.929
252,848.847
253,848.764
254,848.681
255,848.598
256,848.515
257,848.432
258,848.349
259,848.267
260,848.184
261,848.101
262,848.018
263,847.935
264,847.853
265,847.77
266,847.687
267,847.604
268,847.521
269,847.439
270,847.356
271,847.273
272,847.19
273,847.108
274,847.025
275,846.942
276,846.86
277,846.777
278,846.694
279,846.612
280,846.529
281,846.446
282,846.364
283,846.281
284,846.198
285,846.116
286,846.033
287,845.951
288,845.868
289,845.785
290,845.703
291,845.62
292,845.538
293,845.455
294,845.373
295,845.29
296,845.207
297,845.125
298,845.042
299,844.96
300,844.877
301,844.795
302,844.712
303,844.63
304,844.548
305,844.465
306,844.383
307,844.3
308,844.218
309,844.135
310,844.053
311,843.971
312,843.888
313,843.806
314,843.723
315,843.641
316,843.559
317,843.476
318,843.394
319,843.312
320,843.229
321,843.147
322,843.065
323,842.982
324,842.9
325,842.818
326,842.735
327,842.653
328,842.571
329,842.489
330,842.406
331,842.324
332,842.242
333,842.16
334,842.078
335,841.995
336,841.913
337,841.831
338,841.749
339,841.667
340,841.584
341,841.502
342,841.42
343,841.338
344,841.256
345,841.174
346,841.092
347,841.009
348,840.927
349,840.845
350,840.763
351,840.681
352,840.599
353,840.517
354,840.435
355,840.353
356,840.271
357,840.189
358,840.107
359,840.025
360,839.943
361,839.861
362,839.779
363,839.697
364,839.615
365,839.533
366,839.451
367,839.369
368,839.287
369,839.205
370,839.123
371,839.041
372,838.959
373,838.877
374,838.796
375,838.714
376,838.632
377,838.55
378,838.468
379,838.386
380,838.304
381,838.223
382,838.141
383,838.059
384,837.977
385,837.895
386,837.814
387,837.732
388,837.65
