t,state
0,1
1,0.89923
2,0.808615
3,0.727131
4,0.653858
5,0.587969
6,0.528719
7,0.47544
8,0.42753
9,0.384448
10,0.345707
11,0.31087
12,0.279544
13,0.251374
14,0.226043
15,0.203265
16,0.182782
17,0.164363
18,0.1478
19,0.132906
20,0.119513
21,0.10747
22,0.0966402
23,0.0869018
24,0.0781447
25,0.0702701
26,0.063189
27,0.0568214
28,0.0510955
29,0.0459466
30,0.0413166
31,0.0371531
32,0.0334092
33,0.0300426
34,0.0270152
35,0.0242929
36,0.0218449
37,0.0196436
38,0.0176641
39,0.0158841
40,0.0142834
41,0.0128441
42,0.0115498
43,0.0103859
44,0.00933933
45,0.00839821
46,0.00755192
47,0.00679091
48,0.00610659
49,0.00549123
50,0.00493788
51,0.00444029
52,0.00399284
53,0.00359049
54,0.00322867
55,0.00290332
56,0.00261075
57,0.00234767
58,0.00211109
59,0.00189836
60,0.00170706
61,0.00153504
62,0.00138035
63,0.00124126
64,0.00111617
65,0.0010037
66,0.000902555
67,0.000811605
68,0.000729819
69,0.000656276
70,0.000590143
71,0.000530674
72,0.000477198
73,0.000429111
74,0.000385869
75,0.000346985
76,0.00031202
77,0.000280577
78,0.000252304
79,0.000226879
80,0.000204016
81,0.000183458
82,0.000164971
83,0.000148347
84,0.000133398
85,0.000119955
86,0.000107867
87,9.69976e-05
88,8.72231e-05
89,7.84337e-05
90,7.05299e-05
91,6.34226e-05
92,5.70315e-05
93,5.12845e-05
94,4.61165e-05
95,4.14694e-05
96,3.72905e-05
97,3.35327e-05
98,3.01536e-05
99,2.71151e-05
100,2.43827e-05
101,2.19256e-05
102,1.97162e-05
103,1.77294e-05
104,1.59428e-05
105,1.43362e-05
106,1.28916e-05
107,1.15925e-05
108,1.04243e-05
109,9.37387e-06
110,8.42926e-06
111,7.57985e-06
112,6.81603e-06
113,6.12918e-06
114,5.51154e-06
115,4.95614e-06
116,4.45671e-06
117,4.00761e-06
118,3.60376e-06
119,3.24061e-06
120,2.91406e-06
121,2.62041e-06
122,2.35635e-06
123,2.1189e-06
124,1.90538e-06
125,1.71337e-06
126,1.54072e-06
127,1.38546e-06
128,1.24585e-06
129,1.1203e-06
130,1.00741e-06
131,9.05893e-07
132,8.14606e-07
133,7.32518e-07
134,6.58702e-07
135,5.92325e-07
136,5.32636e-07
137,4.78963e-07
138,4.30698e-07
139,3.87296e-07
140,3.48268e-07
141,3.13173e-07
142,2.81615e-07
143,2.53237e-07
144,2.27718e-07
145,2.04771e-07
146,1.84136e-07
147,1.65581e-07
148,1.48895e-07
149,1.33891e-07
150,1.20399e-07
151,1.08266e-07
152,9.73562e-08
153,8.75457e-08
154,7.87237e-08
155,7.07907e-08
156,6.36571e-08
157,5.72424e-08
158,5.14741e-08
159,4.62871e-08
160,4.16227e-08
161,3.74284e-08
162,3.36567e-08
163,3.02651e-08
164,2.72153e-08
165,2.44728e-08
166,2.20067e-08
167,1.97891e-08
168,1.7795e-08
169,1.60018e-08
170,1.43893e-08
171,1.29393e-08
172,1.16354e-08
173,1.04629e-08
174,9.40853e-09
175,8.46043e-09
176,7.60788e-09
177,6.84123e-09
178,6.15184e-09
179,5.53192e-09
180,4.97447e-09
181,4.47319e-09
182,4.02243e-09
183,3.61709e-09
184,3.25259e-09
185,2.92483e-09
186,2.6301e-09
187,2.36506e-09
188,2.12673e-09
189,1.91242e-09
190,1.71971e-09
191,1.54641e-09
192,1.39058e-09
193,1.25045e-09
194,1.12444e-09
195,1.01113e-09
196,9.09242e-10
197,8.17618e-10
198,7.35227e-10
199,6.61138e-10
200,5.94515e-10
201,5.34606e-10
202,4.80734e-10
203,4.3229e-10
204,3.88728e-10
205,3.49556e-10
206,3.14331e-10
207,2.82656e-10
208,2.54173e-10
209,2.2856e-10
210,2.05528e-10
211,1.84817e-10
212,1.66193e-10
213,1.49446e-10
214,1.34386e-10
215,1.20844e-10
216,1.08667e-10
217,9.77162e-11
218,8.78694e-11
219,7.90148e-11
220,7.10525e-11
221,6.38925e-11
222,5.74541e-11
